Board or signal detail,Link,Manufacturer(s),ID,Version,Addr,Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BeagleBone Black,https://github.com/beagleboard/beaglebone-black,Element14 / GHI Electronics,BNLT,00C0,50,[https://beagleboard.org/black production],P8.01 / P8.02 / P9.01 / P9.02 / P9.43 / P9.44 / P9.45 / P9.46,P8.03 / eMMC d6,P8.04 / eMMC d7,P8.05 / eMMC d2,P8.06 / eMMC d3,P8.07,P8.08,P8.09,P8.10,P8.11,P8.12,P8.13,P8.14,P8.15,P8.16,P8.17,P8.18,P8.19,P8.20 / eMMC cmd,P8.21 / eMMC clk,P8.22 / eMMC d5,P8.23 / eMMC d4,P8.24 / eMMC d1,P8.25 / eMMC d0,P8.26,P8.27 / hdmi,P8.28 / hdmi,P8.29 / hdmi,P8.30 / hdmi,P8.31 / hdmi / sysboot 14,P8.32 / hdmi / sysboot 15,P8.33 / hdmi / sysboot 13,P8.34 / hdmi / sysboot 11,P8.35 / hdmi / sysboot 12,P8.36 / hdmi / sysboot 10,P8.37 / hdmi / sysboot 8,P8.38 / hdmi / sysboot 9,P8.39 / hdmi / sysboot 6,P8.40 / hdmi / sysboot 7,P8.41 / hdmi / sysboot 4,P8.42 / hdmi / sysboot 5,P8.43 / hdmi / sysboot 2,P8.44 / hdmi / sysboot 3,P8.45 / hdmi / sysboot 0,P8.46 / hdmi / sysboot 1,P9.03 / P9.04,P9.05 / P9.06 / VDD_5V,P9.07 / P9.08 / SYS_5V,P9.09,P9.10 / -reset,P9.11,P9.12,P9.13,P9.14,P9.15,P9.15b,P9.16,P9.17 / spi boot cs,P9.18 / spi boot out,P9.19 / cape i²c scl,P9.20 / cape i²c sda,P9.21 / spi boot in,P9.22 / spi boot clk,P9.23,P9.24,P9.25 / audio osc,P9.26,P9.27,P9.28 / hdmi audio data,P9.29 / hdmi audio fs,P9.30,P9.31 / hdmi audio clk,P9.32,P9.33,P9.34,P9.35,P9.36,P9.37,P9.38,P9.39,P9.40,(P9.41a),P9.41 / jtag emu3,P9.42,(P9.42b),user led 0,user led 1,user led 2,user led 3,user led 4,console in,console out,eMMC reset,,,,,,-audio osc enable,-gnd,-hdmi cec / jtag emu2,-hdmi irq,-TP9,-usb A,-usb A,-usb A vbus,-usb A vbus en,-usb A vbus overcurrent,-x,-eth mdc,-eth mdio,-eth mii col,-eth mii crs,-eth mii rx clk,-eth mii rx d0,-eth mii rx d1,-eth mii rx d2,-eth mii rx d3,-eth mii rx dv,-eth mii rx err,-eth mii tx clk,-eth mii tx d0,-eth mii tx d1,-eth mii tx d2,-eth mii tx d3,-eth mii tx en,-eth unused,-jtag,-jtag,-jtag,-jtag,-jtag,-jtag emu0,-jtag emu1,-local i²c scl,-local i²c sda,-pmic,-pmic,-pmic,-pmic,-pmic,-pmic irq,-rtc xtal,-rtc xtal,-rtc xtal,-usb B,-usb B,-usb B id,-usb B vbus,-x,-x,-x,-xtal,-xtal,-xtal,-μSD cd / jtag emu4,-μSD clk,-μSD cmd,-μSD d0,-μSD d1,-μSD d2,-μSD d3
Robotics Cape,https://github.com/beagleboard/capes/blob/master/designs/Robotics,Element14,BBORG_ROBOTICS,,,[http://beagleboard.org/RoboticsCape/ production],GND,,,,,RED,GREEN,PAUSE,MODE,QEP_2B,QEP_2A,PWM_2B,LED_4,QEP_4B,QEP_4A,LED_1,LED_2,PWM_2A,,,,,,,LED_3,SVO1,SVO2,SVO3,SVO4,,,QEP_1B,MDIR_2B,QEP_1A,SERVO_EN,UART5_TX,UART5_RX,SVO5,SVO6,SVO7,SVO8,MDIR_3B,MDIR_3A,MDIR_4A,MDIR_4B,3.3V,5.0V,SYS_5V,PWR,RESET,UART4_RX,MDIR_1A,MDIR_1B,PWM_1A,MDIR_2A,-MDIR_2A,PWM_1B,I2C1_SCL,I2C1_SDA,I2C2_SCL,I2C2_SDA,UART2_TX,UART2_RX,SPI1_SS2,UART1_TX,IMU_INT,UART1_RX,QEP_0B,SPI1_SS1,SPI1_MISO,SPI1_MOSI,SPI1_SCK,VDD_ADC,,GND,V_DIV_BAT,V_DIV_DC,AIN2,AIN3,AIN0,AIN1,-MOT_STBY,MOT_STBY,-QEP_0A,QEP_0A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PocketBeagle,https://github.com/beagleboard/pocketbeagle,GHI Electronics,PBGL,00A2,50,[https://beagleboard.org/pocket production],P1.15 / P1.16 / P1.22 / P2.15 / P2.21 / GND,,,,,,,EEPROM-WP / GPIO69,,P2.33 / GPIO45,P2.24 / GPIO44,P2.03 / GPIO23,P1.34 / GPIO26,P2.18 / GPIO47,P2.22 / GPIO46,P2.19 / GPIO27,P2.17 / GPIO65,,,,,,,,,P2.35 / AIN5 / GPIO86,P1.35 / PRU1.10,P1.02 / AIN6 / GPIO87,P1.04 / PRU1.11,sysboot 14,sysboot 15,sysboot 13,sysboot 11,sysboot 12,sysboot 10,sysboot 8,sysboot 9,sysboot 6,sysboot 7,sysboot 4,sysboot 5,sysboot 2,sysboot 3,sysboot 0,sysboot 1,P1.14 / P2.23 / VOUT-3.3V,P1.01 / VIN,P1.24 / P2.13 / VOUT-5V,P2.12 / POWER_BTN,P2.26 / NRESET,P2.05 / UART4_RX,P2.08 / GPIO60,P2.07 / UART4_TX,P2.01 / PWM1A,,P2.20 / GPIO64,,P1.06 / SPI0-CS,P1.12 / SPI0-MOSI,P1.28 / I2C2-SCL,P1.26 / I2C2-SDA,P1.10 / SPI0-MISO,P1.08 / SPI0-CLK,,P2.09 / I2C1-SCL,P1.29 / PRU0.7,P2.11 / I2C1-SDA,P2.34 / PRU0.5,P2.30 / PRU0.3,P1.33 / PRU0.1,P2.32 / PRU0.2,P1.36 / PWM0A,P1.17 / AIN.VREFN,P1.27 / AIN4-1.8V,P1.18 / AIN.VREFP,P1.02 / AIN6 / GPIO87,P2.35 / AIN5 / GPIO86,P1.23 / AIN2-1.8V,P1.25 / AIN3-1.8V,P1.19 / AIN0-1.8V,P1.21 / AIN1-1.8V,P2.28 / PRU0.6,P1.20 / PRU0.16,P2.29 / SPI1-CLK,P1.31 / PRU0.4,user led 0,user led 1,user led 2,user led 3,,P1.32 / UART0-RX,P1.30 / UART0-TX,P2.10 / GPIO52,P2.36 / AIN7-1.8V,EEPROM-WP / GPIO69,P1.07 / USB-VIN,P2.14 / BAT-VIN,P2.16 / BAT-TEMP,P2.02 / GPIO59,P1.13 / USB1-ID,P2.31 / SPI1-CS,P2.06 / GPIO57,P2.25 / SPI1-MOSI,P1.09 / USB1-DN,P1.11 / USB1-DP,P1.05 / USB1-VBUS,P1.03 / USB1-DRVVBUS,P2.04 / GPIO58,P2.27 / SPI1-MISO,,,,,,,,,,,,,,,,,,,-JTAG,-JTAG,-JTAG,-JTAG,-JTAG,-JTAG,-JTAG,-I2C0-SCL,-I2C0-SDA,,,,,,,,,,,,,,,,,-XTAL,-XTAL,-XTAL,-MMC0-CD,-MMC0_CLK,-MMC0_CMD,-MMC0_DAT0,-MMC0_DAT1,-MMC0_DAT2,-MMC0_DAT3
BeagleBone Black Wireless,https://github.com/beagleboard/beaglebone-black-wireless,GHI Electronics,BNLT,BWA5,50,[https://beagleboard.org/black-wireless production],P8.01 / P8.02 / P9.01 / P9.02 / P9.43 / P9.44 / P9.45 / P9.46,P8.03 / eMMC d6,P8.04 / eMMC d7,P8.05 / eMMC d2,P8.06 / eMMC d3,P8.07,P8.08,P8.09,P8.10,P8.11,P8.12,P8.13,P8.14,P8.15,P8.16,P8.17,P8.18,P8.19,P8.20 / eMMC cmd,P8.21 / eMMC clk,P8.22 / eMMC d5,P8.23 / eMMC d4,P8.24 / eMMC d1,P8.25 / eMMC d0,P8.26,P8.27 / hdmi,P8.28 / hdmi,P8.29 / hdmi,P8.30 / hdmi,P8.31 / hdmi / sysboot 14,P8.32 / hdmi / sysboot 15,P8.33 / hdmi / sysboot 13,P8.34 / hdmi / sysboot 11,P8.35 / hdmi / sysboot 12,P8.36 / hdmi / sysboot 10,P8.37 / hdmi / sysboot 8,P8.38 / hdmi / sysboot 9,P8.39 / hdmi / sysboot 6,P8.40 / hdmi / sysboot 7,P8.41 / hdmi / sysboot 4,P8.42 / hdmi / sysboot 5,P8.43 / hdmi / sysboot 2,P8.44 / hdmi / sysboot 3,P8.45 / hdmi / sysboot 0,P8.46 / hdmi / sysboot 1,P9.03 / P9.04,P9.05 / P9.06 / VDD_5V,P9.07 / P9.08 / SYS_5V,P9.09,P9.10 / -reset,P9.11,P9.12,P9.13,P9.14,P9.15 / P9.15a,P9.15 / P9.15b,P9.16,P9.17 / spi boot cs,P9.18 / spi boot out,P9.19 / cape i²c scl,P9.20 / cape i²c sda,P9.21 / spi boot in,P9.22 / spi boot clk,P9.23,P9.24,P9.25 / audio osc,P9.26,P9.27,P9.28 / hdmi audio data,P9.29 / hdmi audio fs,P9.30,P9.31 / hdmi audio clk,P9.32,P9.33,P9.34,P9.35,P9.36,P9.37,P9.38,P9.39,P9.40,P9.41 / P9.41b / jtag emu3,P9.41 / P9.41a / jtag emu3,P9.42 / P9.42a,P9.42 / P9.42b,user led 0,user led 1,user led 2,user led 3,,console in,console out,eMMC reset,,,,,,-audio osc enable,-gnd,-hdmi cec / jtag emu2,-hdmi irq,-TP9,-usb A,-usb A,-usb A vbus,-usb A vbus en,-usb A vbus overcurrent,-x,-eth mdc,-eth mdio,-eth mii col,-eth mii crs,-eth mii rx clk,-eth mii rx d0,-eth mii rx d1,-eth mii rx d2,-eth mii rx d3,-eth mii rx dv,-eth mii rx err,-eth mii tx clk,-eth mii tx d0,-eth mii tx d1,-eth mii tx d2,-eth mii tx d3,-eth mii tx en,-eth unused,-jtag,-jtag,-jtag,-jtag,-jtag,-jtag emu0,-jtag emu1,-local i²c scl,-local i²c sda,-pmic,-pmic,-pmic,-pmic,-pmic,-pmic irq,-rtc xtal,-rtc xtal,-rtc xtal,-usb B,-usb B,-usb B id,-usb B vbus,-x,-x,-x,-xtal,-xtal,-xtal,-μSD cd / jtag emu4,-μSD clk,-μSD cmd,-μSD d0,-μSD d1,-μSD d2,-μSD d3
BeagleBone Blue,https://github.com/beagleboard/beaglebone-blue,Element14,BNLT,BLA2,50,[https://beagleboard.org/blue production],UT0_1 / UT1_1 / UT5_1 / CAN_1 / DSM2_2 / I2C_1 / GP0_1 / GP1_1 / GPS_2 / GPS_6 / S1.1_1 / S1.2_1 / E1_1 / E2_1 / E3_1 / E4_1 / PWR_1 / PWR_2 / GND,-eMMC_DAT6,-eMMC_DAT7,-eMMC_DAT2,-eMMC_DAT3,RED,GREEN,PAUSE,MODE,E3_4 / EQEP_2B,E3_3 / EQEP_2A,MPWM_4,BAT100,E4_4,E4_3,BAT25,,MPWM_3,-eMMC_CMD,-eMMC_CLK,-eMMC_DAT5,-eMMC_DAT4,-eMMC_DAT1,-eMMC_DAT0,BAT75,SERVO_1,SERVO_2,SERVO_3,SERVO_4,,BAT50,E2_4 / EQEP_1B,MDIR_2B,E2_3 / EQEP_1A,SERVO_PWR_EN,UT5_4 / UART5_TX,UT5_3 / UART5_RX,SERVO_5,SERVO_6,SERVO_7,SERVO_8,MDIR_3B,MDIR_3A,MDIR_4A,MDIR_4B,UT0_2 / UT1_2 / UT5_2 / CAN_2 / DSM2_1 / I2C_2 / GP0_2 / GP1_2 / S1.1_2 / S1.2_2 / E1_2 / E2_2 / E3_2 / E4_2 / PWR_3 / 3.3V,,PWR_4 / GPS_5 / 5.0V,POWER_BTN,RESET,DSM_3 / UART4_RX,,MDIR_1B,MPWM_1,MDIR_2A,MDIR_1A,MPWM_2,I2C_3 / I2C1_SCL,I2C_4 / I2C1_SDA,-I2C2_SCL,-I2C2_SDA,GPS_4 / UART2_TX,GPS_3 / UART2_RX,GP0_4 / GPIO1_17,UT1_4 / UART1_TX,-IMU-INT,UT1_3 / UART1_RX,E1_4,GP0_6,S1.1_4 / S1.2_4 / SPI1_MISO,S1.1_3 / S1.2_3 / SPI1_MOSI,S1.1_5 / S1.2_5 / SPI1_SCK,ADC_2 / VDD_ADC,,,V_DIV_BAT / AIN6,V_DIV_DC / AIN5,ADC_5 / AIN2,ADC_6 / AIN3,ADC_3 / AIN0,ADC_4 / AIN1,GP0_5 / GPIO3_20,-MOT_STBY,S1.2_6 / SPI1_SS2,E1_3 / EQEP_0A,USR0,USR1,USR2,USR3,,UT0_3 / UART0_RX,UT0_4 / UART0_TX,-eMMC_RST,,,,,,,,WIFI,GP0_3 / GPIO1_25,CAN RX,,,,,,CAN TX,-BT_RTS,-BT_CTS,-WL_SDIO_D3,GP1_4 / GPIO3_1,-WLBT_BUF_OE / GPIO106,,-WL_SDIO_CLK,-BT_TX,-BT_RX,-WL_SDIO_D0,GP1_3 / GPIO3_2,-WL_EN / GPIO105,-BT_EN / GPIO28,-WLAN_IRQ / GPIO21,-WL_SDIO_D2,-WL_SDIO_D1,-WL_SDIO_CMD,S1.1_6 / SPI1_SS1,-JTAG,-JTAG,-JTAG,-JTAG,-JTAG,-JTAG,-JTAG,-I2C0_SCL,-I2C0_SDA,,,,,,,,,,,,,,,,,-XTAL,-XTAL,-XTAL,-MMC0_SDCD,-MMC0_CLK,-MMC0_CMD,-MMC0_DAT0,-MMC0_DAT1,-MMC0_DAT2,-MMC0_DAT3
Comms Cape,https://github.com/beagleboard/capes/blob/master/designs/Comms,GHI Electronics,BBORG_COMMS,00A2,56,prototype,GND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCC,5,SYS.VOUT,,,RS485.RX / UART4 RX,RS485.TX / UART4 TX,,,,,,,,SCL,SDA,,,,CAN.RD,SINK.A / GPIO117,CAN.TD,SINK.B / GPIO115,,,,,,,,LOOP.B / AIN6,LOOP.A / AIN5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Display 1.8” Cape,https://github.com/beagleboard/capes/blob/master/designs/Display18,GHI Electronics,BBORG_DISPLAY18,00A2,57,prototype,GND,,,,,,,,,LCD.DC,BTN1,LED2,BTN2,,BTN3,,BTN4,LED1,,,,,,,LCD.BACKLIGHT,LCD.RESET,,,,,,,,,,,,,,,,,,,,VCC,5,,,,,,,,,,,,,SCL,SDA,,,,,,,,SPI1.CS,,SPI1.MOSI,SPI1.SCLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[https://github.com/beagleboard/capes/blob/master/designs/Display50 Display 5.0” Cape],,GHI Electronics,BBORG_DISPLAY50,00A2,57,development,GND,,,,,,,,,,,,,,,,,,,,,,,,,LCD.VSYNC,LCD.CLK,LCD.HSYNC,LCD.DEN,LCD.R6,LCD.R7,LCD.R5,LCD.R3,LCD.R4,LCD.G7,LCD.G5,LCD.G6,LCD.G3,LCD.G4,LCD.B7,LCD.G2,LCD.B5,LCD.B6,LCD.B3,LCD.B4,VCC,VDD_5V,5,,,,,,LCD.BACKLIGHT,,,,,,SCL,SDA,,,,,,,,,,CAP.TOUCH.IRQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[https://github.com/beagleboard/capes/blob/master/designs/Display70 Display 7.0” Cape],,GHI Electronics,BBORG_DISPLAY70,00A2,57,development,GND,,,,,,,,,,,,,,,,,,,,,,,,,LCD.VSYNC,LCD.CLK,LCD.HSYNC,LCD.DEN,LCD.R6,LCD.R7,LCD.R5,LCD.R3,LCD.R4,LCD.G7,LCD.G5,LCD.G6,LCD.G3,LCD.G4,LCD.B7,LCD.G2,LCD.B5,LCD.B6,LCD.B3,LCD.B4,VCC,VDD_5V,5,,,,,,LCD.BACKLIGHT,,,,,,SCL,SDA,,,,,,,,,,CAP.TOUCH.IRQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[https://github.com/beagleboard/capes/blob/master/designs/Load Load Cape],,GHI Electronics,BBORG_LOAD,00A2,54,prototype,GND,,,,,,,,,SINK6,SINK5,,,SINK7,,SINK8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCC,,,,,,,,,,,,,,SCL,SDA,,,,,,,SINK4,,,SINK3,,,,,,,,,,,-SINK2,SINK2,SINK1,-SINK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[https://github.com/beagleboard/capes/blob/master/designs/Motor Motor Cape],,GHI Electronics,BBORG_MOTOR,00A2,55,development,GND,,,,,M2.HIGH,M1.HIGH,M3.HIGH,M4.HIGH,,,M3.PWM2.B,,,,,,M4.PWM2.A,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCC,5,SYS.VOUT,,,,,,M2.PWM1.A,,,M1.PWM1.B,,,SCL,SDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[https://github.com/beagleboard/capes/blob/master/designs/Power Power Cape],,GHI Electronics,BBORG_POWER,00A2,N/A,prototype,GND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCC,5,SYS.VOUT,PWR.BTN,SYS.RESET#,,,,,,,,,,SCL,SDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[https://github.com/beagleboard/capes/blob/master/designs/Proto Proto Cape],,GHI Electronics,BBORG_PROTO,00A2,54,prototype,GND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCC,,,,,,,,,,,,,,SCL,SDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[https://github.com/beagleboard/capes/blob/master/designs/Relay Relay Cape],,GHI Electronics,BBORG_RELAY,00A2,54,prototype,GND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCC,,5,,,,,,,,,,,,SCL,SDA,,,,,,,RELAY4,,,RELAY3,,,,,,,,,,,-RELAY1,RELAY1,RELAY2,-RELAY2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Servo Cape,,GHI Electronics,BBORG_SERVO,,55,development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TI Gateway Cape,,,,,,,,Reserved2,NFC_nRESET,SDIO_D2,SDIO_D3,SYNC,NFC_I2C_STP,NFC_INT0,NFC_I2C_RDY,,,,,,,,,,SDIO_CMD,SDIO_CLK,Reserved1,,SDIO_D1,SDIO_D0,BUF_ENABLE,,,,,,,,,,,,,,,,,,,,,,,,,,UART4_RXD,ZB_RESETn,UART4_TXD,,I2C_Enable,-I2C_Enable,,I2C1_SCL,I2C1_SDA,UART1_RTSN,UART1_CSTN,BT_EN,WL_EN,,UART1_TXD,,UART1_RXD,,,,,,,,,,,,,,,,CLKOUT2,WL_IRQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bela Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMP_SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPI_ADC_CNV,,,SPI_DAC_SYNC,SPI_MOSI,SCL,SDA,SPI_MISO,SPI_SCLK,SPI_DAC_CLR,I2C1_SCL,AUD_MCLK,I2C1_SDA,SHUTDOWN_REQ,AUD_DOUT,AUD_WCLK,AUD_DIN,AUD_BCLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cTAG FACE 2|4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,asp 0 rx clk,,,,,,spi 0 cs 0,spi 0 data 1,,,spi 0 data 0,spi 0 clk,,,asp 0 tx hclk,,asp 0 rx fs,asp 0 data 2,asp 0 tx fs,asp 0 data 0,asp 0 tx clk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Replicape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPI1_MISO,SPI1_MOSI,SPI1_SCLK,,,,,,,,,,,,SPI1_CS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM3358 ZCZ/BSP ball,,,,,,,,R9,T9,R8,T8,R7,T7,T6,U6,R12,T12,T10,T11,U13,V13,U12,V12,U10,V9,U9,V8,U8,V7,U7,V6,U5,V5,R5,R6,V4,T5,V3,V3,V2,U3,U1,U2,T3,T4,T1,T2,R3,R4,R1,R2,,,,,A10,T17,U18,U17,U14,R13,T13,T14,A16,B16,D17,D18,B17,A17,V14,D15,A14,D16,C13,C12,B13,D12,A13,A9,C8,B9,A8,B8,B7,A7,B6,C7,D13,D14,C18,B12,V15,U15,T15,V16,,E15,E16,R14,C9,,,,,V17,P17,A15,U16,E17,R18,R17,T18,F15,T16,E18,M18,M17,H16,H17,L18,M16,L15,L16,L17,J17,J15,K18,K17,K16,K15,J18,J16,H18,C11,B11,A11,A12,B10,C14,B14,C16,C17,B15,B5,,,,B18,,,,,,,,,F16,,,,,C15,G17,G18,G16,G15,F18,F17
OSD3358-SM ball,,,,,,,,P4,R4,R1,T3,M1,N1,N3,N2,R6,P6,P5,R5,P7,T6,T5,T7,T4,P1,P2,T1,T2,R2,R3,P3,F3,F1,F2,E1,L1,M3,L2,K1,L3,K2,J1,K3,J3,J2,H2,H1,G1,H3,G3,G2,,,,T11,R11,P15,N14,R16,P12,T12,R7,T13,A14,B14,A10,B10,B13,A13,R12,B11,C4,A11,B3,B1,A2,B2,A1,B9,C7,B7,C9,C8,B6,C6,A8,B8,C3,B4,C5,A3,P13,T14,R14,P14,,A12,B12,R13,D7,M2,P9 / R9 / T9,P8 / R8 / T8,N6,T16,L14,A4,T15,C13,L16,L15,M15,M14,R15,C12,D13,E13,F15,F14,E16,E14,D16,D15,D14,F16,E15,H16,H15,H14,G16,G15,G14,J14,D2,C1,C2,D1,D3,E2,E3,C10,C11,P11,N5,,,,D4,,,,,,,,,J15,,P16,N16,N15,C14,B15,B16,A16,A15,C16,C15
AM3358 Control register,,,,,,,,818,81C,808,80C,890,894,89C,898,834,830,824,828,83C,838,82C,88C,820,884,880,814,810,804,800,87C,8.00E+00,8.00E+08,8.00E+04,8EC,8D8,8DC,8D4,8CC,8D0,8C8,8C0,8C4,8B8,8BC,8B0,8B4,8A8,8AC,8A0,8A4,,,,,9B8,870,878,874,848,840,888,84C,95C,958,97C,978,954,950,844,984,9AC,980,9A4,99C,994,998,990,,,,,,,,,,9A8,9B4,964,9A0,854,858,85C,860,,970,974,850,,,,,,86C,A2C,9B0,864,96C,A20,A24,A30,A34,868,968,94C,948,908,90C,930,940,93C,938,934,918,910,92C,928,924,920,91C,914,944,9D0,9D4,9D8,9DC,9.00E+00,9.00E+04,9.00E+08,98C,988,9BC,9F8,9FC,A00,A04,9C0,9EC,9F0,9F4,A08,A0C,A14,A18,A10,A1C,A28,9C4,9C8,9CC,960,900,904,8FC,8F8,8F4,8F0
